# QIGOA reality-check | script=run_main_grid.py::summarise | experiment=main | data_source=brats | commit=412869cbfcd80dfa595a9f647285228740884ef2 | generated=2026-07-21T09:22:27
# Provenance: numbers trace to this script + configs/*.yaml + the commit above (CLAUDE.md §5.3). Do not edit by hand.
target,include_zero_bg,k,method,decode_rule,n_rows,n_patients,dice_median,dice_q1,dice_q3,dice_ci_low,dice_ci_high,hd95_median,nsd_median,n_components_median,empty_mask_rate,psnr_median,ssim_median,relative_gap_mean,relative_gap_std,hit_rate,nfe_mean,runtime_s_mean,placeholder
et_t1ce,false,2,DP-exact,brightest,368,368,0.09113271862312655,0.028803306308683226,0.18121627012769792,0.0795883361921097,0.1090745962573699,88.11126199817022,0.0950382009881322,60.5,0.0,24.908509313643385,0.7683877558418061,0.0,0.0,1.0,,0.22088930090474126,0
et_t1ce,false,2,DP-exact,morph,368,368,0.05673457727673945,0.0,0.13930003306140698,0.0378844904585976,0.0710762106110943,86.42814650544933,0.040388955027630194,1.0,0.0,24.908509313643385,0.7683877558418061,0.0,0.0,1.0,,0.22088930090474126,0
et_t1ce,false,2,DP-exact,otsu_pick,368,368,0.061713800677601446,0.021833406092777452,0.10990097100369631,0.055434820221962,0.0702420462047644,94.18358568371113,0.0261218975938906,8.0,0.0,24.908509313643385,0.7683877558418061,0.0,0.0,1.0,,0.22088930090474126,0
et_t1ce,false,2,DP-exact,upper_union,368,368,0.061713800677601446,0.021833406092777452,0.10990097100369631,0.055434820221962,0.0702420462047644,94.18358568371113,0.0261218975938906,8.0,0.0,24.908509313643385,0.7683877558418061,0.0,0.0,1.0,,0.22088930090474126,0
et_t1ce,false,2,GA,brightest,1840,368,0.09109583491944825,0.0292973813844957,0.1818219442901696,0.0842562634214151,0.0973132372214941,87.72884031315141,0.0952159777055271,61.0,0.0,24.89967528837215,0.7660976912889317,0.00013273371085158826,0.0004311748186588579,0.7266304347826087,5000.0,0.5167667284678569,0
et_t1ce,false,2,GA,morph,1840,368,0.0556206546363565,0.0,0.13981984908829426,0.0446977116908556,0.0632193224185443,86.21481982078447,0.0407185628742515,1.0,0.0,24.89967528837215,0.7660976912889317,0.00013273371085158826,0.0004311748186588579,0.7266304347826087,5000.0,0.5167667284678569,0
et_t1ce,false,2,GA,otsu_pick,1840,368,0.061685594739988,0.021791112606247998,0.10987580613564847,0.0583170537587728,0.0641811585136994,94.17587665288936,0.0265410958904109,8.0,0.0,24.89967528837215,0.7660976912889317,0.00013273371085158826,0.0004311748186588579,0.7266304347826087,5000.0,0.5167667284678569,0
et_t1ce,false,2,GA,upper_union,1840,368,0.061685594739988,0.021791112606247998,0.10987580613564847,0.0583170537587728,0.0641811585136994,94.17587665288936,0.0265410958904109,8.0,0.0,24.89967528837215,0.7660976912889317,0.00013273371085158826,0.0004311748186588579,0.7266304347826087,5000.0,0.5167667284678569,0
et_t1ce,false,2,GOA,brightest,1840,368,0.0925691556680528,0.02930331448937505,0.1816895308616523,0.0850749535807569,0.0982211910286156,87.6895052186101,0.0970090459136214,61.0,0.0,24.910259235836833,0.7661864484528377,0.0006347966447286841,0.0013090571563702568,0.4157608695652174,5000.0,3.0434693720576123,0
et_t1ce,false,2,GOA,morph,1840,368,0.0549170844581565,0.0,0.13981984908829426,0.0445095948827292,0.06215527606945442,86.0249962672048,0.0455235204855842,1.0,0.0,24.910259235836833,0.7661864484528377,0.0006347966447286841,0.0013090571563702568,0.4157608695652174,5000.0,3.0434693720576123,0
